Kings Cross,Motorbike,15,0.5956,8,0.4132,9,0.4687,15,0.7353,3,0.211
Kings Cross,Bicycle,50,1.9812,16,0.8367,25,1.2967,15,0.7353,9,0.6329
Kings Cross,Walked only,725,28.7731,558,28.8367,483,25.1374,468,22.9546,326,22.929
Kings Cross,Other,36,1.4341,15,0.7566,39,2.0362,58,2.8433,12,0.8439
Kings Cross,Worked at home,102,4.0331,82,4.2505,83,4.3276,58,2.8384,41,2.9149
Kings Cross,Did not go to work,165,6.5651,141,7.2692,176,9.1733,217,10.6133,101,7.1062
Kings Cross,Not stated,14,0.5559,20,1.0381,19,0.9921,30,1.4707,70,4.9543
Kings Cross,Total employed persons aged 15+,2519,100,1936,100,1920,100,2040,100,1422,100
Newtown,Train,1098,25.1259,803,22.2994,1035,26.8622,769,23.5231,600,20.7894
Newtown,Bus,655,14.9886,516,14.3294,554,14.3784,449,13.7511,487,16.8841
Newtown,Tram or Ferry,0,0,4,0.1111,3,0.0779,0,0,6,0.208
Newtown,Taxi,50,1.1442,30,0.8331,34,0.8824,28,0.8558,43,1.5018
Newtown,Car - as driver,920,21.0526,813,22.5771,906,23.5141,847,25.9101,752,26.0627
Newtown,Car - as passenger,70,1.6018,99,2.7492,112,2.9068,111,3.4069,107,3.6973
Newtown,Truck,4,0.0915,6,0.1666,3,0.0779,0,0,0,0
Newtown,Truck,4,0.2746,6,0.4999,3,0.2336,0,0,0,0
Newtown,Motorbike,51,1.167,21,0.5832,18,0.4672,23,0.7009,12,0.4077
Newtown,Bicycle,230,5.2632,109,3.0269,114,2.9587,61,1.875,53,1.8408
Newtown,Walked only,663,15.1716,570,15.8289,440,11.4197,404,12.3607,389,13.4947
Newtown,Other,27,0.6178,18,0.4999,30,0.7786,21,0.655,21,0.7384
Newtown,Worked at home,185,4.2334,134,3.7212,151,3.919,107,3.2673,94,3.2747
Newtown,Did not go to work,398,9.1076,446,12.3854,419,10.8746,418,12.8051,260,9.0243
Newtown,Not stated,18,0.4119,32,0.8886,34,0.8824,29,0.8891,60,2.0759
Newtown,Total employed persons aged 15+,4370,100,3601,100,3853,100,3267,100,2885,100
Paddington,Train,75,4.7438,61,3.6116,99,6.6982,87,5.6457,80,5.4795
Paddington,Bus,334,21.1259,319,18.8869,328,22.1922,349,22.6476,380,26.0274
